name,version,license,license_url,functionality,notes,dist_name,channel,build,build_number
blas,1.0,BSD 3-clause,https://anaconda.org/conda-forge/blas,Meta package to select the BLAS variant,,blas-1.0-mkl,conda-forge,mkl,0
boto3,1.17.0,Apache-2.0,,,,boto3-1.17.0-pyhd8ed1ab_0,conda-forge,pyhd8ed1ab_0,0
botocore,1.20.0,Apache-2.0,,,,botocore-1.20.0-pyhd8ed1ab_0,conda-forge,pyhd8ed1ab_0,0
bottle,0.12.13,MIT,,,,bottle-0.12.13-py_1,conda-forge,py_1,1
ca-certificates,2023.08.22,MPL-2.0,https://github.com/conda-forge/ca-certificates-feedstock,Certificates for use with other packages,,ca-certificates-2023.08.22-hecd8cb5_0,pkgs/main,hecd8cb5_0,0
certifi,2023.7.22,MPL-2.0,,,,certifi-2023.7.22-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
chardet,3.0.4,LGPL2,,,,chardet-3.0.4-py38hecd8cb5_1003,pkgs/main,py38hecd8cb5_1003,1003
decorator,4.4.2,BSD-3-Clause,https://github.com/micheles/decorator/blob/master/LICENSE.txt,python decorator library,,decorator-4.4.2-pyhd3eb1b0_0,pkgs/main,pyhd3eb1b0_0,0
future,0.18.2,MIT,,,,future-0.18.2-py38_1,pkgs/main,py38_1,1
idna,3.4,BSD-3-Clause,,,,idna-3.4-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
intel-openmp,2021.4.0,LicenseRef-ProprietaryIntel,https://www.openmprtl.org/licensing|https://www.openmprtl.org/faq/10,Math library for Intel and compatible processors,,intel-openmp-2021.4.0-hecd8cb5_3538,pkgs/main,hecd8cb5_3538,3538
jmespath,0.10.0,MIT,,,,jmespath-0.10.0-pyhd3eb1b0_0,pkgs/main,pyhd3eb1b0_0,0
joblib,1.2.0,BSD-3-Clause,https://github.com/joblib/joblib/blob/master/LICENSE.txt,Python function as pipeline jobs,,joblib-1.2.0-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
libcxx,14.0.6,Apache-2.0 WITH LLVM-exception,https://llvm.org/docs/DeveloperPolicy.html#license,LLVM C++ standard library,,libcxx-14.0.6-h9765a3e_0,pkgs/main,h9765a3e_0,0
libffi,3.3,Custom,https://github.com/libffi/libffi/blob/master/LICENSE,A Portable Foreign Function Interface Library,,libffi-3.3-hb1e8313_2,pkgs/main,hb1e8313_2,2
libgfortran,3.0.1,GPL 3 (with GCC Runtime Library Exception 3.1),http://www.gnu.org/licenses/gpl|https://www.gnu.org/licenses/gcc-exception-3.1.en.html,Fortran runtime library,,libgfortran-3.0.1-h93005f0_2,pkgs/main,h93005f0_2,2
libprotobuf,3.19.6,BSD-3-Clause,https://github.com/protocolbuffers/protobuf/blob/main/LICENSE,Google's data interchange format. C++ Libraries and protoc, the protobuf compiler,libprotobuf-3.19.6-hfff2838_0,pkgs/main,hfff2838_0,0
llvm-openmp,14.0.6,Apache-2.0 WITH LLVM-exception,https://llvm.org/docs/DeveloperPolicy.html#license,LLVM openmp runtime,,llvm-openmp-14.0.6-h0dcd299_0,pkgs/main,h0dcd299_0,0
mkl,2021.4.0,LicenseRef-ProprietaryIntel,https://software.intel.com/en-us/mkl/license-faq,Math library for Intel and compatible processors,,mkl-2021.4.0-hecd8cb5_637,pkgs/main,hecd8cb5_637,637
mkl-service,2.4.0,BSD-3-Clause,https://github.com/IntelPython/mkl-service/blob/master/LICENSE.txt,Python hooks for Intel(R) Math Kernel Library runtime control settings,,mkl-service-2.4.0-py38h9ed2024_0,pkgs/main,py38h9ed2024_0,0
mkl_fft,1.3.1,BSD 3-Clause,https://github.com/IntelPython/mkl_fft/blob/master/LICENSE.txt,NumPy-based implementation of Fast Fourier Transform using MKL,,mkl_fft-1.3.1-py38h4ab4a9b_0,pkgs/main,py38h4ab4a9b_0,0
mkl_random,1.2.2,BSD-3-Clause,https://github.com/IntelPython/mkl_random/blob/master/LICENSE.txt,MKL-powered package for sampling from common probability distributions into NumPy arrays,,mkl_random-1.2.2-py38hb2f4e1b_0,pkgs/main,py38hb2f4e1b_0,0
ncurses,6.4,MIT AND X11,https://invisible-island.net/ncurses/ncurses-license.html,Library for text-based user interfaces,,ncurses-6.4-hcec6c5f_0,pkgs/main,hcec6c5f_0,0
networkx,2.5.1,BSD-3-Clause,https://github.com/networkx/networkx/blob/master/LICENSE.txt,Python package for creating and manipulating complex networks,,networkx-2.5.1-pyhd3eb1b0_0,pkgs/main,pyhd3eb1b0_0,0
numpy,1.20.3,BSD 3-Clause,https://github.com/numpy/numpy/blob/master/LICENSE.txt,The fundamental package for scientific computing with Python,,numpy-1.20.3-py38h4b4dc7a_0,pkgs/main,py38h4b4dc7a_0,0
numpy-base,1.20.3,BSD 3-Clause,https://github.com/numpy/numpy/blob/master/LICENSE.txt,The fundamental package for scientific computing with Python,,numpy-base-1.20.3-py38he0bd621_0,pkgs/main,py38he0bd621_0,0
onnx,1.11.0,MIT,https://github.com/onnx/onnx/blob/main/LICENSE,Open Neural Network Exchange library,,onnx-1.11.0-py38h4908e0d_0,conda-forge,py38h4908e0d_0,0
onnxruntime,1.10.0,MIT,https://github.com/microsoft/onnxruntime/blob/master/LICENSE,cross-platform, high performance ML inferencing and training accelerator,onnxruntime-1.10.0-py38hfe79f92_4,conda-forge,py38hfe79f92_4,4
openssl,1.1.1w,OpenSSL,https://github.com/openssl/openssl/blob/master/LICENSE.txt,ssl library,,openssl-1.1.1w-hca72f7f_0,pkgs/main,hca72f7f_0,0
pandas,1.0.5,BSD-3-Clause,https://github.com/pandas-dev/pandas/blob/master/LICENSE,data structures and data analysis tools,,pandas-1.0.5-py38h959d312_0,pkgs/main,py38h959d312_0,0
patsy,0.5.3,BSD-2-Clause AND PSF-2.0,https://github.com/pydata/patsy/blob/master/LICENSE.txt,library for describing statistical models and building design matrices,,patsy-0.5.3-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
protobuf,3.19.6,BSD-3-Clause,https://github.com/protocolbuffers/protobuf/blob/main/LICENSE,Google's data interchange format,,protobuf-3.19.6-py38hcec6c5f_0,pkgs/main,py38hcec6c5f_0,0
psutil,5.8.0,BSD-3-Clause,https://github.com/giampaolo/psutil/blob/master/LICENSE,process manipuation,,psutil-5.8.0-py38h9ed2024_1,pkgs/main,py38h9ed2024_1,1
