NAME,LICENSE,URL
_libgcc_mutex,,https://anaconda.org/anaconda/_libgcc_mutex
blas,,https://anaconda.org/anaconda/blas
ca-certificates,ISC,https://github.com/conda-forge/ca-certificates-feedstock
certifi,MPL2.0,https://github.com/certifi/python-certifi/blob/master/LICENSE
decorator,BSD 2-clause,https://github.com/micheles/decorator/blob/master/LICENSE.txt
icc_rt,proprietary - Intel,https://software.intel.com/en-us/license/intel-simplified-software-license
intel-openmp,BSD 3-clause ,https://www.openmprtl.org/licensing|https://www.openmprtl.org/faq/10
joblib,BSD 3-clause,https://github.com/joblib/joblib/blob/master/LICENSE.txt
ld_impl_linux-64,GPLv3,http://www.gnu.org/licenses/gpl
libcxx,MIT,https://llvm.org/docs/DeveloperPolicy.html#license
libcxxabi,MIT,https://llvm.org/docs/DeveloperPolicy.html#license
libedit,BSD 3-clause,http://thrysoee.dk/editline|http://www.netbsd.org/about/redistribution.html
libffi,libffi license,https://github.com/libffi/libffi/blob/master/LICENSE
libgcc-ng,GPL with RuntimeLibrary Exception,http://www.gnu.org/licenses/gpl|https://www.gnu.org/licenses/gcc-exception-3.1.en.html
libgfortran,GPL with RuntimeLibrary Exception,http://www.gnu.org/licenses/gpl|https://www.gnu.org/licenses/gcc-exception-3.1.en.html
libgfortran-ng,GPL with RuntimeLibrary Exception,http://www.gnu.org/licenses/gpl|https://www.gnu.org/licenses/gcc-exception-3.1.en.html
libstdcxx-ng,GPL with RuntimeLibrary Exception,https://anaconda.org/anaconda/libstdcxx-ng
llvm-openmp,MIT,https://llvm.org/docs/DeveloperPolicy.html#license
mkl,proprietary - Intel,https://software.intel.com/en-us/mkl/license-faq
mkl-service,BSD 3-clause,https://github.com/ContinuumIO/mkl-service/blob/master/LICENSE.txt
mkl_fft,BSD 3-clause,https://github.com/IntelPython/mkl_fft/blob/master/LICENSE.txt
mkl_random,BSD 3-clause,https://github.com/IntelPython/mkl_random/blob/master/LICENSE.txt
ncurses,free,https://invisible-island.net/ncurses/ncurses-license.html
networkx,BSD 3-clause,https://github.com/networkx/networkx/blob/master/LICENSE.txt
numpy,BSD 3-clause,https://github.com/numpy/numpy/blob/master/LICENSE.txt
numpy-base,BSD 3-clause,https://github.com/numpy/numpy/blob/master/LICENSE.txt
_openmp_mutex,BSD 3-clause,https://github.com/conda-forge/_openmp_mutex-feedstock/blob/master/LICENSE.txt
openssl,OpenSSL license,https://www.openssl.org/source/license.html
pandas,BSD 3-clause,https://github.com/pandas-dev/pandas/blob/master/LICENSE
patsy,BSD 2-clause/PSF,https://github.com/pydata/patsy/blob/master/LICENSE.txt
psutil,BSD 3-clause,https://github.com/giampaolo/psutil/blob/master/LICENSE
python,PSF,https://docs.python.org/3/license.html
python-dateutil,Apache 2.0,https://github.com/dateutil/dateutil/blob/master/LICENSE
pytz,MIT,https://github.com/newvem/pytz/blob/master/LICENSE.txt
scikit-learn,New BSD License,https://github.com/scikit-learn/scikit-learn/blob/master/COPYING
scipy,BSD 3-clause,https://github.com/scipy/scipy/blob/master/LICENSE.txt
setuptools,MIT,https://github.com/pypa/setuptools/blob/master/LICENSE
six,MIT,https://github.com/benjaminp/six/blob/master/LICENSE
statsmodels,BSD 3-clause,https://github.com/statsmodels/statsmodels/blob/master/LICENSE.txt
threadpoolctl,BSD 3-clause,https://github.com/joblib/threadpoolctl/blob/master/LICENSE
vc,Modified BSD 3-clause,https://github.com/conda/conda/wiki/VC-features
vs2015_runtime,,https://anaconda.org/anaconda/vs2015_runtime
wheel,MIT,https://github.com/pypa/wheel/blob/master/LICENSE.txt
wincertstore,PSF 2 license,https://bitbucket.org/tiran/wincertstore/src/default/LICENSE
xz,LGPLv2.1/GPLv2,https://git.tukaani.org/?p=xz.git;a=blob_plain;f=COPYING;hb=HEAD
zlib,zlib,https://github.com/madler/zlib
